description-word,descripting,word-no,valence-mean,valence-SD,arousal-mean,arousal-SD,dominance-mean,dominance-SD,word-freq
listless,listless,259,4.12,1.73,4.1,2.31,4.14,1.73,1
lively,live,849,7.2,1.97,5.53,2.9,6.09,1.95,26
locker,locker,850,5.19,1.31,3.38,2.13,5.36,1.87,9
loneliness,loneli,260,1.61,1.02,4.56,2.97,2.51,2.27,9
lonely,lone,261,2.17,1.76,4.51,2.68,2.95,2.12,25
loser,loser,851,2.25,1.48,4.95,2.57,3.02,2.17,1
lost,lost,852,2.82,1.83,5.82,2.62,2.86,1.64,173
lottery,lotteri,853,6.57,2.04,5.36,2.45,4.81,2.11,1
louse,lous,262,2.81,1.92,4.98,2.03,3.57,2.26,3
love,love,263,8.72,0.7,6.44,3.35,7.11,2.56,232
loved,love,264,8.64,0.71,6.38,2.68,6.62,2.53,56
loyal,loyal,265,7.55,1.9,5.16,2.42,6.91,2.23,18
lucky,lucki,266,8.17,1.06,6.53,2.34,6.05,2.25,21
lump,lump,854,4.16,2.34,4.8,2.82,4.32,2.18,7
luscious,luscious,267,7.5,1.08,5.34,2.51,5.68,1.84,2
lust,lust,519,7.12,1.62,6.88,1.85,5.49,2.27,5
luxury,luxuri,268,7.88,1.49,4.75,2.91,6.4,2.45,21
machine,machin,855,5.09,1.67,3.82,2.4,5.23,2.06,103
mad,mad,856,2.44,1.72,6.76,2.26,5.86,2.2,39
madman,madman,857,3.91,2.49,5.56,2.78,4.79,2.55,2
maggot,maggot,269,2.06,1.47,5.28,2.96,4.03,2.09,2
magical,magic,858,7.46,1.64,5.95,2.36,5.73,2.19,12
mail,mail,859,6.88,1.74,5.63,2.36,5.67,1.79,47
malaria,malaria,860,2.4,1.38,4.4,2.54,3.22,1.9,3
malice,malic,270,2.69,1.84,5.86,2.75,4.74,2.72,2
man,man,537,6.73,1.7,5.24,2.31,5.53,2.23,1207
mangle,mangl,861,3.9,2.01,5.44,2.1,4.61,1.84,0
maniac,maniac,862,3.76,2,5.39,2.46,4.22,2.07,4
manner,manner,863,5.64,1.34,4.56,1.78,5.05,1.83,124
mantel,mantel,864,4.93,1.4,3.27,2.23,4.95,1.61,3
manure,manur,865,3.1,1.74,4.17,2.09,4.67,1.36,6
market,market,866,5.66,1.02,4.12,1.83,5.27,1.4,155
massacre,massacr,867,2.28,1.74,5.33,2.63,3.5,2.26,1
masterful,master,271,7.09,1.78,5.2,2.85,7.18,2.56,2
masturbate,masturb,599,5.45,2.02,5.67,2.18,5.63,2.25,0
material,materi,868,5.26,1.29,4.05,2.34,5.12,1.45,174
measles,measl,272,2.74,1.97,5.06,2.44,4.13,2.16,2
medicine,medicin,869,5.67,2.06,4.4,2.36,4.7,1.91,30
meek,meek,273,3.87,1.69,3.8,2.13,3.67,2.23,10
melody,melodi,870,7.07,1.79,4.98,2.52,5.46,1.78,21
memories,memori,871,7.48,1.61,6.1,2.1,5.88,1.92,15
memory,memori,274,6.62,1.5,5.42,2.25,5.11,2.12,76
menace,menac,275,2.88,1.64,5.52,2.45,4.98,2.25,9
merry,merri,872,7.9,1.49,5.9,2.42,6.64,1.66,8
messy,messi,873,3.15,1.73,3.34,2.37,4.75,2.15,3
metal,metal,874,4.95,1.17,3.79,1.96,5.38,1.4,61
method,method,875,5.56,1.76,3.85,2.58,5.67,1.58,142
mighty,mighti,276,6.54,2.19,5.61,2.38,7.23,2.11,29
mildew,mildew,277,3.17,1.36,4.08,1.79,4.4,1.79,1
milk,milk,876,5.95,2.16,3.68,2.57,5.83,1.5,49
millionaire,millionair,278,8.03,1.42,6.14,2.7,6.97,2.4,2
mind,mind,877,6.68,1.84,5,2.68,6.37,2.19,325
miracle,miracl,279,8.6,0.71,7.65,1.67,5.35,2.58,16
mischief,mischief,878,5.57,2.05,5.76,1.95,5.56,1.88,5
misery,miseri,879,1.93,1.6,5.17,2.69,2.55,1.45,15
mistake,mistak,880,2.86,1.79,5.18,2.42,3.86,2.42,34
mobility,mobil,881,6.83,1.79,5,2.18,6.43,1.48,8
modest,modest,280,5.76,1.28,3.98,2.24,4.96,2.16,29
mold,mold,882,3.55,1.7,4.07,1.98,4.33,1.83,45
moment,moment,281,5.76,1.65,3.83,2.29,4.81,1.92,246
money,money,282,7.59,1.4,5.7,2.66,6.25,2.33,265
month,month,283,5.15,1.09,4.03,1.77,4.85,1.14,130
moody,moodi,883,3.2,1.58,4.18,2.38,4.39,1.71,5
moral,moral,884,6.2,1.85,4.49,2.28,5.9,2.2,142
morbid,morbid,284,2.87,2.14,5.06,2.68,4.34,2.5,1
morgue,morgu,285,1.92,1.32,4.84,2.96,3.61,1.94,1
mosquito,mosquito,885,2.8,1.91,4.78,2.72,4.51,2.15,1
mother,mother,286,8.39,1.15,6.13,2.71,5.74,2.37,216
mountain,mountain,287,6.59,1.66,5.49,2.43,5.46,2.36,33
movie,movi,288,6.86,1.81,4.93,2.54,5,1.79,29
mucus,mucus,886,3.34,2.29,3.41,2.17,4.8,1.83,2
muddy,muddi,887,4.44,2.07,4.13,2.13,4.73,1.77,10
muffin,muffin,888,6.57,2.04,4.76,2.42,5.51,1.63,0
murderer,murder,289,1.53,0.96,7.47,2.18,3.77,3.06,19
muscular,muscular,290,6.82,1.63,5.47,2.2,6.58,2.28,16
museum,museum,889,5.54,1.86,3.6,2.13,5.32,1.68,32
mushroom,mushroom,567,5.78,2.22,4.72,2.33,5.52,2.1,2
music,music,291,8.13,1.09,5.32,3.19,6.39,2.44,216
mutation,mutat,890,3.91,2.44,4.84,2.52,4.07,2.1,0
mutilate,mutil,292,1.82,1.45,6.41,2.94,3.41,2.71,3
mystic,mystic,891,6,2.21,4.84,2.57,5.52,1.93,3
naked,nake,892,6.34,2.42,5.8,2.8,6,2.05,32
name,name,893,5.55,2.24,4.25,2.47,5.16,2.08,294
narcotic,narcot,894,4.29,2.3,4.93,2.57,4.44,2.43,2
nasty,nasti,895,3.58,2.38,4.89,2.5,5,2.17,5
natural,natur,896,6.59,1.57,4.09,2.37,5.57,1.69,156
nature,natur,293,7.65,1.37,4.37,2.51,4.95,2.72,191
nectar,nectar,294,6.9,1.53,3.89,2.48,4.54,2.06,3
needle,needl,897,3.82,1.73,5.36,2.89,3.95,2.17,15
neglect,neglect,898,2.63,1.64,4.83,2.31,3.85,2.29,12
nervous,nervous,899,3.29,1.47,6.59,2.07,3.56,1.73,24
neurotic,neurot,900,4.45,2.23,5.13,2.76,4.41,2.05,10
news,news,901,5.3,1.67,5.17,2.11,4.6,1.88,102
nice,nice,902,6.55,2.44,4.38,2.69,5.58,2.2,75
nightmare,nightmar,295,1.91,1.54,7.59,2.23,3.68,2.76,9
nipple,nippl,903,6.27,1.81,5.56,2.55,5.57,2,0
noisy,noisi,904,5.02,2.02,6.38,1.78,4.93,1.76,6
nonchalant,nonchal,296,4.74,1.11,3.12,1.93,4.31,1.54,1
nonsense,nonsens,905,4.61,1.63,4.17,2.02,4.9,1.55,13
noose,noos,906,3.76,1.64,4.39,2.08,4.17,1.92,3
nourish,nourish,907,6.46,1.69,4.29,2.51,5.8,1.62,0
nude,nude,520,6.82,1.63,6.41,2.09,5.96,2.29,20
nuisance,nuisanc,908,3.27,1.86,4.49,2.69,4.36,1.73,5
nun,nun,909,4.93,1.89,2.93,1.8,4.93,1.69,2
nurse,nurs,538,6.08,2.08,4.84,2.04,4.84,2.2,17
nursery,nurseri,910,5.73,2.3,4.04,2.74,5.18,2.23,13
obesity,obes,911,2.73,1.85,3.87,2.82,3.74,2.45,5
obey,obey,912,4.52,1.88,4.23,1.72,4.26,2.4,8
obnoxious,obnoxi,913,3.5,2.18,4.74,2.42,5.39,2.2,5
obscene,obscen,914,4.23,2.3,5.04,2.3,4.48,1.91,2
obsession,obsess,915,4.52,2.13,6.41,2.13,4.77,2.38,5
ocean,ocean,297,7.12,1.72,4.95,2.79,5.53,2.75,34
odd,odd,916,4.82,2.04,4.27,2.46,4.77,1.89,44
offend,offend,917,2.76,1.5,5.56,2.06,3.73,2.03,4
office,offic,568,5.24,1.59,4.08,1.92,5.59,1.89,255
opinion,opinion,298,6.28,1.45,4.89,2.46,5.53,1.93,96
optimism,optim,918,6.95,2.24,5.34,2.58,6.61,2.06,15
option,option,919,6.49,1.31,4.74,2.23,6.34,1.8,5
orchestra,orchestra,299,6.02,1.89,3.52,2.29,5.17,2.14,60
orgasm,orgasm,920,8.32,1.31,8.1,1.45,6.83,2.18,7
outdoors,outdoor,521,7.47,1.8,5.92,2.55,6.27,2.24,6
outrage,outrag,921,3.52,2.12,6.83,2.26,5.26,2.72,4
outstanding,outstand,922,7.75,1.75,6.24,2.59,6.4,2.29,37
overcast,overcast,923,3.65,1.61,3.46,1.92,4.2,1.79,9
overwhelmed,overwhelm,300,4.19,2.61,7,2.37,3.89,2.58,4
owl,owl,522,5.8,1.31,3.98,1.87,5.82,1.62,2
pain,pain,301,2.13,1.81,6.5,2.49,3.71,2.53,88
paint,paint,924,5.62,1.72,4.1,2.36,5.75,1.71,37
palace,palac,302,7.19,1.78,5.1,2.75,5.69,2.17,38
pamphlet,pamphlet,925,4.79,1.05,3.62,2.02,4.63,1.48,3
pancakes,pancak,523,6.08,1.83,4.06,2.13,5.76,1.61,0
panic,panic,601,3.12,1.84,7.02,2.02,3.2,1.67,22
paper,paper,303,5.2,1.21,2.5,1.85,4.47,1.67,157
paradise,paradis,304,8.72,0.6,5.12,3.38,6.03,2.79,12
paralysis,paralysi,926,1.98,1.44,4.73,2.83,2.56,1.82,6
part,part,927,5.11,1.78,3.82,2.24,4.75,1.59,500
party,parti,305,7.86,1.83,6.69,2.84,5.83,2.46,216
passage,passag,928,5.28,1.44,4.36,2.13,5.02,1.62,49
passion,passion,306,8.03,1.27,7.26,2.57,6.13,2.24,28
pasta,pasta,524,6.69,1.64,4.94,2.04,5.8,1.47,0
patent,patent,307,5.29,1.08,3.5,1.84,4.9,1.79,35
patient,patient,929,5.29,1.89,4.21,2.37,4.9,2.31,86
patriot,patriot,930,6.71,1.69,5.17,2.53,5.9,1.54,10
peace,peac,308,7.72,1.75,2.95,2.55,5.45,2.84,198
penalty,penalti,931,2.83,1.56,5.1,2.31,3.95,1.97,14
pencil,pencil,309,5.22,0.68,3.14,1.9,4.78,1.73,34
penis,peni,932,5.9,1.72,5.54,2.63,5.92,2.54,0
penthouse,penthous,933,6.81,1.64,5.52,2.49,6.52,1.82,1
people,peopl,525,7.33,1.7,5.94,2.09,6.14,2.02,847
perfection,perfect,310,7.25,2.05,5.95,2.73,6.71,2.26,11
perfume,perfum,934,6.76,1.48,5.05,2.36,5.93,1.69,10
person,person,311,6.32,1.74,4.19,2.45,5.35,2.02,175
pervert,pervert,312,2.79,2.12,6.26,2.61,4.72,2.83,1
pest,pest,313,3.13,1.82,5.62,2.15,5.29,2.13,4
pet,pet,935,6.79,2.32,5.1,2.59,5.85,2.28,8
phase,phase,936,5.17,0.79,3.98,1.82,4.65,1.72,72
pie,pie,314,6.41,1.89,4.2,2.4,5.35,1.78,14
pig,pig,937,5.07,1.97,4.2,2.42,5.34,1.88,8
pillow,pillow,315,7.92,1.4,2.97,2.52,4.56,2.17,8
pinch,pinch,938,3.83,1.7,4.59,2.1,4.76,1.73,6
pistol,pistol,939,4.2,2.58,6.15,2.19,5.05,2.77,27
pity,piti,940,3.37,1.57,3.72,2.02,4.12,1.82,14
pizza,pizza,526,6.65,2.23,5.24,2.09,5.69,1.9,3
plain,plain,941,4.39,1.46,3.52,2.05,4.71,1.68,48
plane,plane,539,6.43,1.98,6.14,2.39,4.78,2.19,114
plant,plant,316,5.98,1.83,3.62,2.25,4.71,2.12,125
pleasure,pleasur,317,8.28,0.92,5.74,2.81,6.15,2.31,62
poetry,poetri,318,5.86,1.91,4,2.85,5.31,1.81,88
poison,poison,319,1.98,1.44,6.05,2.82,3.1,2.44,10
politeness,polit,320,7.18,1.5,3.74,2.37,5.74,1.7,5
pollute,pollut,321,1.85,1.11,6.08,2.42,4.92,2.51,1
poster,poster,942,5.34,1.75,3.93,2.56,4.91,1.87,4
poverty,poverti,322,1.67,0.9,4.87,2.66,3.21,2.21,20
power,power,323,6.54,2.21,6.67,1.87,7.28,2.35,342
powerful,power,324,6.84,1.8,5.83,2.69,7.19,2.52,63
prairie,prairi,325,5.75,1.43,3.41,2.17,4.62,2.13,21
present,present,943,6.95,1.85,5.12,2.39,5.83,1.78,377
pressure,pressur,944,3.38,1.61,6.07,2.26,3.45,2.07,185
prestige,prestig,945,7.26,1.9,5.86,2.08,6.9,1.96,29
pretty,pretti,326,7.75,1.26,6.03,2.22,5.5,1.97,107
prick,prick,946,3.98,1.73,4.7,2.59,4.47,1.88,2
pride,pride,327,7,2.11,5.83,2.48,7.06,2.15,42
priest,priest,328,6.42,2,4.41,2.71,4.88,2.07,16
prison,prison,329,2.05,1.34,5.7,2.56,4.2,2.58,42
privacy,privaci,330,5.88,1.5,4.12,1.83,5.66,1.78,12
profit,profit,331,7.63,1.3,6.68,1.78,5.85,2.47,28
progress,progress,947,7.73,1.34,6.02,2.58,6.76,2.05,120
promotion,promot,332,8.2,1.15,6.44,2.58,6.79,2.28,26
protected,protect,333,7.29,1.79,4.09,2.77,5.8,2.54,31
proud,proud,334,8.03,1.56,5.56,3.01,6.74,2.73,50
pungent,pungent,948,3.95,2.09,4.24,2.17,4.78,1.52,4
punishment,punish,335,2.22,1.41,5.93,2.4,3.5,2.43,21
puppy,puppi,336,7.56,1.9,5.85,2.78,5.51,2.39,2
pus,pus,602,2.86,1.91,4.82,2.06,4.35,1.82,0
putrid,putrid,337,2.38,1.71,5.74,2.26,4.89,2.09,0
python,python,949,4.05,2.48,6.18,2.25,4.52,2.56,14
quality,qualiti,950,6.25,1.59,4.48,2.12,5.64,1.59,114
quarrel,quarrel,338,2.93,2.06,6.29,2.56,4.02,2.16,20
quart,quart,951,5.39,2.01,3.59,2.51,5.2,1.86,3
queen,queen,952,6.44,1.43,4.76,2.18,5.49,2.12,41
quick,quick,953,6.64,1.61,6.57,1.78,6.57,1.91,68
quiet,quiet,339,5.58,1.83,2.82,2.13,4.42,2.3,76
rabbit,rabbit,527,6.57,1.92,4.02,2.19,6.08,1.72,11
rabies,rabi,340,1.77,0.97,6.1,2.62,3.85,2.34,1
radiant,radiant,954,6.73,2.17,5.39,2.82,5.61,2.17,8
radiator,radiat,955,4.67,1.05,4.02,1.94,4.81,1.38,4
radio,radio,341,6.73,1.47,4.78,2.82,5.28,1.85,120
rage,rage,342,2.41,1.86,8.17,1.4,5.68,3.01,16
rain,rain,569,5.08,2.51,3.65,2.35,4.78,1.68,70
rainbow,rainbow,343,8.14,1.23,4.64,2.88,4.72,2.37,4
rancid,rancid,956,4.34,2.28,5.04,2.27,4.59,1.86,0
rape,rape,344,1.25,0.91,6.81,3.17,2.97,2.94,5
rat,rat,345,3.02,1.66,4.95,2.36,4.55,2.14,6
rattle,rattl,346,5.03,1.23,4.36,2.18,4.17,1.56,5
razor,razor,957,4.81,2.16,5.36,2.44,4.91,1.95,15
red,red,570,6.41,1.61,5.29,2.04,5.78,1.59,197
refreshment,refresh,347,7.44,1.29,4.45,2.7,5,1.92,2
regretful,regret,348,2.28,1.42,5.74,2.32,3.43,2.52,1
rejected,reject,349,1.5,1.09,6.37,2.56,2.72,2.58,33
relaxed,relax,350,7,1.77,2.39,2.13,5.55,1.9,14
repentant,repent,351,5.53,1.86,4.69,1.98,5.42,2.06,1
reptile,reptil,958,4.77,2,5.18,2.19,4.77,2.02,0
rescue,rescu,352,7.7,1.24,6.53,2.56,6.45,2.29,15
resent,resent,959,3.76,1.9,4.47,2.12,4.46,2.09,8
reserved,reserv,353,4.88,1.83,3.27,2.05,4.3,1.93,27
respect,respect,354,7.64,1.29,5.19,2.39,6.89,2.11,125
respectful,respect,355,7.22,1.27,4.6,2.67,5.67,2.38,4
restaurant,restaur,960,6.76,1.85,5.41,2.55,5.73,1.41,41
reunion,reunion,961,6.48,2.45,6.34,2.35,5.64,1.95,11
reverent,rever,356,5.35,1.21,4,1.6,4.67,1.68,3
revolt,revolt,357,4.13,1.78,6.56,2.34,6.18,2.11,8
revolver,revolv,962,4.02,2.44,5.55,2.39,4.39,2.47,14
reward,reward,358,7.53,1.67,4.95,2.62,6,2.14,15
riches,rich,359,7.7,1.95,6.17,2.7,6.74,2.43,2
ridicule,ridicul,360,3.13,2.24,5.83,2.73,3.87,2.7,5
rifle,rifl,603,4.02,2.76,6.35,2.04,4.16,2.71,63
rigid,rigid,963,3.66,2.12,4.66,2.47,4.61,2.04,24
riot,riot,361,2.96,1.93,6.39,2.63,4.18,2.47,7
river,river,362,6.85,1.69,4.51,2.42,5.1,1.86,165
roach,roach,363,2.35,1.7,6.64,2.64,4.82,2.94,2
robber,robber,964,2.61,1.69,5.62,2.72,3.62,2.38,2
rock,rock,965,5.56,1.38,4.52,2.37,5.15,2.01,75
rollercoaster,rollercoast,528,8.02,1.63,8.06,1.71,5.1,2.76,0
romantic,romant,364,8.32,1,7.59,2.07,6.08,2.29,32
rotten,rotten,365,2.26,1.37,4.53,2.38,4.32,2.09,2
rough,rough,966,4.74,2,5.33,2.04,4.81,1.7,41
rude,rude,366,2.5,2.11,6.31,2.47,4.91,2.49,6
runner,runner,571,5.67,1.91,4.76,2.4,5.47,1.84,1
rusty,rusti,367,3.86,1.47,3.77,2.16,4.53,1.62,8
sad,sad,368,1.61,0.95,4.13,2.38,3.45,2.18,35
safe,safe,967,7.07,1.9,3.86,2.72,5.81,2.06,58
sailboat,sailboat,529,7.25,1.71,4.88,2.73,5.86,1.71,1
saint,saint,968,6.49,1.7,4.49,1.9,5.37,2.11,16
salad,salad,369,5.74,1.62,3.81,2.29,5.47,1.68,9
salute,salut,370,5.92,1.57,5.31,2.23,5.46,2.05,3
